Date,Decimal Date,Average,Trend
1984-03-01,1984.208,344.86,343.51
1984-04-01,1984.292,345.09,343.46
1984-05-01,1984.375,345.24,343.70
1984-06-01,1984.458,344.47,343.71
1984-07-01,1984.542,343.11,343.92
1984-08-01,1984.625,342.13,344.41
1984-09-01,1984.708,342.04,344.49
1984-10-01,1984.792,342.91,344.28
1984-11-01,1984.875,344.08,344.39
1984-12-01,1984.958,344.92,344.63
1985-01-01,1985.042,345.27,344.58
1985-02-01,1985.125,345.71,344.69
1985-03-01,1985.208,346.55,345.24
1985-04-01,1985.292,346.84,345.24
1985-05-01,1985.375,346.68,345.11
1985-06-01,1985.458,346.18,345.39
1985-07-01,1985.542,344.86,345.68
1985-08-01,1985.625,343.37,345.68
1985-09-01,1985.708,343.30,345.75
1985-10-01,1985.792,344.56,345.94
1985-11-01,1985.875,345.69,346.02
1985-12-01,1985.958,346.45,346.15
1986-01-01,1986.042,347.01,346.32
1986-02-01,1986.125,347.23,346.24
1986-03-01,1986.208,347.61,346.29
1986-04-01,1986.292,348.13,346.51
1986-05-01,1986.375,348.23,346.66
1986-06-01,1986.458,347.67,346.90
1986-07-01,1986.542,346.21,347.05
1986-08-01,1986.625,344.83,347.13
1986-09-01,1986.708,344.76,347.17
1986-10-01,1986.792,345.95,347.31
1986-11-01,1986.875,347.22,347.55
1986-12-01,1986.958,347.68,347.39
1987-01-01,1987.042,347.94,347.15
1987-02-01,1987.125,348.49,347.40
1987-03-01,1987.208,349.21,347.79
1987-04-01,1987.292,349.91,348.22
1987-05-01,1987.375,350.20,348.62
1987-06-01,1987.458,349.41,348.74
1987-07-01,1987.542,347.81,348.79
1987-08-01,1987.625,346.57,348.95
1987-09-01,1987.708,346.65,349.10
1987-10-01,1987.792,347.93,349.31
1987-11-01,1987.875,349.20,349.53
1987-12-01,1987.958,350.16,349.85
1988-01-01,1988.042,350.87,350.07
1988-02-01,1988.125,351.43,350.35
1988-03-01,1988.208,351.81,350.35
1988-04-01,1988.292,352.26,350.49
1988-05-01,1988.375,352.43,350.80
1988-06-01,1988.458,351.75,351.04
1988-07-01,1988.542,350.27,351.25
1988-08-01,1988.625,349.07,351.53
1988-09-01,1988.708,349.27,351.78
1988-10-01,1988.792,350.45,351.87
1988-11-01,1988.875,351.63,351.98
1988-12-01,1988.958,352.48,352.20
1989-01-01,1989.042,353.03,352.21
1989-02-01,1989.125,353.49,352.38
1989-03-01,1989.208,354.04,352.61
1989-04-01,1989.292,354.42,352.65
1989-05-01,1989.375,354.23,352.55
1989-06-01,1989.458,353.29,352.59
1989-07-01,1989.542,351.58,352.61
1989-08-01,1989.625,350.19,352.68
1989-09-01,1989.708,350.52,353.05
1989-10-01,1989.792,351.81,353.24
1989-11-01,1989.875,352.98,353.33
1989-12-01,1989.958,353.84,353.52
1990-01-01,1990.042,354.39,353.65
1990-02-01,1990.125,354.78,353.72
1990-03-01,1990.208,355.08,353.68
1990-04-01,1990.292,355.40,353.64
1990-05-01,1990.375,355.31,353.64
1990-06-01,1990.458,354.24,353.59
1990-07-01,1990.542,352.63,353.71
1990-08-01,1990.625,351.50,354.01
1990-09-01,1990.708,351.71,354.23
1990-10-01,1990.792,353.10,354.48
1990-11-01,1990.875,354.34,354.62
1990-12-01,1990.958,355.09,354.63
1991-01-01,1991.042,355.66,354.90
1991-02-01,1991.125,356.08,354.98
1991-03-01,1991.208,356.57,355.16
1991-04-01,1991.292,357.08,355.34
1991-05-01,1991.375,357.00,355.37
1991-06-01,1991.458,356.08,355.47
1991-07-01,1991.542,354.44,355.53
1991-08-01,1991.625,352.95,355.45
1991-09-01,1991.708,352.82,355.34
1991-10-01,1991.792,353.90,355.28
1991-11-01,1991.875,355.06,355.30
1991-12-01,1991.958,355.85,355.36
1992-01-01,1992.042,356.42,355.63
1992-02-01,1992.125,356.80,355.68
1992-03-01,1992.208,357.16,355.71
1992-04-01,1992.292,357.65,355.87
1992-05-01,1992.375,357.73,356.09
1992-06-01,1992.458,356.78,356.19
1992-07-01,1992.542,355.09,356.22
1992-08-01,1992.625,353.58,356.13
1992-09-01,1992.708,353.49,356.05
1992-10-01,1992.792,354.70,356.09
1992-11-01,1992.875,355.87,356.11
1992-12-01,1992.958,356.63,356.14
1993-01-01,1993.042,357.08,356.25
1993-02-01,1993.125,357.42,356.27
1993-03-01,1993.208,357.83,356.40
1993-04-01,1993.292,358.29,356.54
1993-05-01,1993.375,358.24,356.59
1993-06-01,1993.458,357.22,356.55
1993-07-01,1993.542,355.62,356.63
1993-08-01,1993.625,354.34,356.80
1993-09-01,1993.708,354.35,356.93
1993-10-01,1993.792,355.59,357.06
1993-11-01,1993.875,356.83,357.17
1993-12-01,1993.958,357.72,357.34
1994-01-01,1994.042,358.34,357.49
1994-02-01,1994.125,358.87,357.71
1994-03-01,1994.208,359.22,357.78
1994-04-01,1994.292,359.57,357.80
1994-05-01,1994.375,359.61,357.93
1994-06-01,1994.458,358.68,357.97
1994-07-01,1994.542,357.16,358.14
1994-08-01,1994.625,355.94,358.44
1994-09-01,1994.708,355.90,358.55
1994-10-01,1994.792,357.13,358.67
1994-11-01,1994.875,358.57,358.92
1994-12-01,1994.958,359.44,359.04
1995-01-01,1995.042,360.00,359.16
1995-02-01,1995.125,360.46,359.34
1995-03-01,1995.208,360.89,359.53
1995-04-01,1995.292,361.36,359.67
1995-05-01,1995.375,361.32,359.69
1995-06-01,1995.458,360.48,359.78
1995-07-01,1995.542,358.84,359.83
1995-08-01,1995.625,357.56,360.02
1995-09-01,1995.708,357.90,360.49
1995-10-01,1995.792,359.29,360.75
1995-11-01,1995.875,360.62,360.90
1995-12-01,1995.958,361.50,361.04
1996-01-01,1996.042,361.99,361.06
1996-02-01,1996.125,362.35,361.17
1996-03-01,1996.208,362.67,361.26
1996-04-01,1996.292,363.00,361.29
1996-05-01,1996.375,363.14,361.54
1996-06-01,1996.458,362.73,362.07
1996-07-01,1996.542,361.43,362.46
1996-08-01,1996.625,359.92,362.42
1996-09-01,1996.708,359.55,362.17
1996-10-01,1996.792,360.52,362.01
1996-11-01,1996.875,361.63,361.93
1996-12-01,1996.958,362.49,362.06
1997-01-01,1997.042,363.13,362.19
1997-02-01,1997.125,363.51,362.33
1997-03-01,1997.208,363.87,362.47
1997-04-01,1997.292,364.34,362.66
1997-05-01,1997.375,364.38,362.81
1997-06-01,1997.458,363.49,362.85
1997-07-01,1997.542,361.81,362.84
1997-08-01,1997.625,360.28,362.76
1997-09-01,1997.708,360.27,362.87
1997-10-01,1997.792,361.79,363.26
1997-11-01,1997.875,363.46,363.74
1997-12-01,1997.958,364.51,364.06
1998-01-01,1998.042,365.07,364.14
1998-02-01,1998.125,365.43,364.27
1998-03-01,1998.208,365.81,364.43
1998-04-01,1998.292,366.41,364.75
1998-05-01,1998.375,366.71,365.17
1998-06-01,1998.458,366.11,365.50
1998-07-01,1998.542,364.68,365.72
1998-08-01,1998.625,363.63,366.11
1998-09-01,1998.708,363.86,366.45
1998-10-01,1998.792,365.16,366.60
1998-11-01,1998.875,366.42,366.67
1998-12-01,1998.958,367.28,366.79
1999-01-01,1999.042,367.95,367.02
1999-02-01,1999.125,368.34,367.19
1999-03-01,1999.208,368.73,367.35
1999-04-01,1999.292,369.12,367.49
1999-05-01,1999.375,369.03,367.52
1999-06-01,1999.458,368.19,367.61
1999-07-01,1999.542,366.53,367.56
1999-08-01,1999.625,365.16,367.60
1999-09-01,1999.708,365.27,367.82
1999-10-01,1999.792,366.59,368.01
1999-11-01,1999.875,367.89,368.13
1999-12-01,1999.958,368.72,368.20
2000-01-01,2000.042,369.21,368.30
2000-02-01,2000.125,369.46,368.31
2000-03-01,2000.208,369.78,368.40
2000-04-01,2000.292,370.18,368.52
2000-05-01,2000.375,370.08,368.56
2000-06-01,2000.458,369.17,368.64
2000-07-01,2000.542,367.79,368.91
2000-08-01,2000.625,366.62,369.13
2000-09-01,2000.708,366.56,369.11
2000-10-01,2000.792,367.77,369.15
2000-11-01,2000.875,369.12,369.30
2000-12-01,2000.958,369.92,369.36
2001-01-01,2001.042,370.51,369.62
2001-02-01,2001.125,371.00,369.84
2001-03-01,2001.208,371.40,369.99
2001-04-01,2001.292,371.72,370.05
2001-05-01,2001.375,371.62,370.09
2001-06-01,2001.458,370.67,370.14
2001-07-01,2001.542,369.29,370.39
2001-08-01,2001.625,368.16,370.63
2001-09-01,2001.708,368.20,370.72
2001-10-01,2001.792,369.56,370.94
2001-11-01,2001.875,370.88,371.10
2001-12-01,2001.958,371.80,371.29
2002-01-01,2002.042,372.34,371.38
2002-02-01,2002.125,372.73,371.49
2002-03-01,2002.208,373.21,371.69
2002-04-01,2002.292,373.56,371.80
2002-05-01,2002.375,373.53,371.95
2002-06-01,2002.458,372.66,372.11
2002-07-01,2002.542,371.25,372.38
2002-08-01,2002.625,370.20,372.73
2002-09-01,2002.708,370.52,373.14
2002-10-01,2002.792,371.79,373.27
2002-11-01,2002.875,373.12,373.40
2002-12-01,2002.958,374.09,373.64
2003-01-01,2003.042,374.78,373.78
2003-02-01,2003.125,375.30,374.00
2003-03-01,2003.208,375.73,374.16
2003-04-01,2003.292,376.22,374.44
2003-05-01,2003.375,376.36,374.76
2003-06-01,2003.458,375.53,374.98
2003-07-01,2003.542,373.99,375.12
2003-08-01,2003.625,372.74,375.31
2003-09-01,2003.708,372.91,375.58
2003-10-01,2003.792,374.20,375.73
2003-11-01,2003.875,375.49,375.82
2003-12-01,2003.958,376.34,375.92
2004-01-01,2004.042,377.02,376.05
2004-02-01,2004.125,377.53,376.23
2004-03-01,2004.208,377.96,376.37
2004-04-01,2004.292,378.30,376.52
2004-05-01,2004.375,378.23,376.64
2004-06-01,2004.458,377.35,376.79
2004-07-01,2004.542,375.81,376.98
2004-08-01,2004.625,374.33,376.97
2004-09-01,2004.708,374.22,376.89
2004-10-01,2004.792,375.56,377.06
2004-11-01,2004.875,377.03,377.33
2004-12-01,2004.958,377.99,377.51
2005-01-01,2005.042,378.56,377.59
2005-02-01,2005.125,379.09,377.79
2005-03-01,2005.208,379.70,378.10
2005-04-01,2005.292,380.16,378.36
2005-05-01,2005.375,380.27,378.64
2005-06-01,2005.458,379.45,378.85
2005-07-01,2005.542,377.78,378.93
2005-08-01,2005.625,376.55,379.18
2005-09-01,2005.708,376.58,379.28
2005-10-01,2005.792,377.89,379.45
2005-11-01,2005.875,379.36,379.69
2005-12-01,2005.958,380.34,379.86
2006-01-01,2006.042,381.09,380.09
2006-02-01,2006.125,381.72,380.35
2006-03-01,2006.208,382.12,380.49
2006-04-01,2006.292,382.46,380.63
2006-05-01,2006.375,382.41,380.75
2006-06-01,2006.458,381.55,380.92
2006-07-01,2006.542,379.88,381.07
2006-08-01,2006.625,378.30,381.01
2006-09-01,2006.708,378.42,381.19
2006-10-01,2006.792,379.84,381.42
2006-11-01,2006.875,381.21,381.54
2006-12-01,2006.958,382.17,381.70
2007-01-01,2007.042,382.80,381.79
2007-02-01,2007.125,383.31,381.91
2007-03-01,2007.208,383.78,382.13
2007-04-01,2007.292,384.04,382.21
2007-05-01,2007.375,383.91,382.28
2007-06-01,2007.458,383.07,382.50
2007-07-01,2007.542,381.36,382.61
2007-08-01,2007.625,380.06,382.82
2007-09-01,2007.708,380.45,383.22
2007-10-01,2007.792,381.86,383.41
2007-11-01,2007.875,383.20,383.48
2007-12-01,2007.958,384.21,383.71
2008-01-01,2008.042,384.98,383.97
2008-02-01,2008.125,385.49,384.10
2008-03-01,2008.208,385.89,384.27
2008-04-01,2008.292,386.29,384.48
2008-05-01,2008.375,386.26,384.63
2008-06-01,2008.458,385.34,384.77
2008-07-01,2008.542,383.86,385.17
2008-08-01,2008.625,382.53,385.33
2008-09-01,2008.708,382.30,385.05
2008-10-01,2008.792,383.43,384.91
2008-11-01,2008.875,384.92,385.16
2008-12-01,2008.958,386.01,385.47
2009-01-01,2009.042,386.80,385.76
2009-02-01,2009.125,387.26,385.83
2009-03-01,2009.208,387.49,385.84
2009-04-01,2009.292,387.77,385.96
2009-05-01,2009.375,387.74,386.14
2009-06-01,2009.458,386.74,386.23
2009-07-01,2009.542,384.80,386.20
2009-08-01,2009.625,383.42,386.28
2009-09-01,2009.708,383.72,386.45
2009-10-01,2009.792,385.28,386.70
2009-11-01,2009.875,386.74,386.92
2009-12-01,2009.958,387.63,387.07
2010-01-01,2010.042,388.42,387.40
2010-02-01,2010.125,389.14,387.74
2010-03-01,2010.208,389.48,387.84
2010-04-01,2010.292,389.77,387.97
2010-05-01,2010.375,389.74,388.15
2010-06-01,2010.458,388.80,388.30
2010-07-01,2010.542,387.16,388.54
2010-08-01,2010.625,386.04,388.85
2010-09-01,2010.708,386.50,389.21
2010-10-01,2010.792,388.06,389.48
2010-11-01,2010.875,389.43,389.62
2010-12-01,2010.958,390.19,389.65
2011-01-01,2011.042,390.74,389.69
2011-02-01,2011.125,391.16,389.74
2011-03-01,2011.208,391.46,389.83
2011-04-01,2011.292,391.84,390.04
2011-05-01,2011.375,391.88,390.26
2011-06-01,2011.458,390.95,390.45
2011-07-01,2011.542,389.01,390.38
2011-08-01,2011.625,387.68,390.45
2011-09-01,2011.708,388.08,390.80
2011-10-01,2011.792,389.66,391.12
2011-11-01,2011.875,391.02,391.23
2011-12-01,2011.958,391.83,391.34
2012-01-01,2012.042,392.41,391.36
2012-02-01,2012.125,393.00,391.58
2012-03-01,2012.208,393.52,391.90
2012-04-01,2012.292,393.80,392.01
2012-05-01,2012.375,393.67,392.08
2012-06-01,2012.458,392.63,392.15
2012-07-01,2012.542,390.80,392.23
2012-08-01,2012.625,389.69,392.52
2012-09-01,2012.708,390.36,393.06
2012-10-01,2012.792,391.97,393.38
2012-11-01,2012.875,393.37,393.53
2012-12-01,2012.958,394.17,393.60
2013-01-01,2013.042,394.86,393.82
2013-02-01,2013.125,395.49,394.08
2013-03-01,2013.208,396.07,394.44
2013-04-01,2013.292,396.52,394.70
2013-05-01,2013.375,396.53,394.92
2013-06-01,2013.458,395.74,395.22
2013-07-01,2013.542,394.27,395.65
2013-08-01,2013.625,393.05,395.85
2013-09-01,2013.708,393.01,395.71
2013-10-01,2013.792,394.31,395.74
2013-11-01,2013.875,395.76,396.00
2013-12-01,2013.958,396.65,396.13
2014-01-01,2014.042,397.27,396.24
2014-02-01,2014.125,397.73,396.32
2014-03-01,2014.208,398.03,396.40
2014-04-01,2014.292,398.39,396.57
2014-05-01,2014.375,398.46,396.85
2014-06-01,2014.458,397.50,396.99
2014-07-01,2014.542,395.91,397.29
2014-08-01,2014.625,394.80,397.60
2014-09-01,2014.708,394.89,397.59
2014-10-01,2014.792,396.15,397.58
2014-11-01,2014.875,397.63,397.87
2014-12-01,2014.958,398.60,398.07
2015-01-01,2015.042,399.30,398.27
2015-02-01,2015.125,399.86,398.44
2015-03-01,2015.208,400.30,398.67
2015-04-01,2015.292,400.69,398.87
2015-05-01,2015.375,400.64,399.03
2015-06-01,2015.458,399.79,399.27
2015-07-01,2015.542,398.12,399.50
2015-08-01,2015.625,396.84,399.64
2015-09-01,2015.708,397.15,399.86
2015-10-01,2015.792,398.60,400.03
2015-11-01,2015.875,400.15,400.39
2015-12-01,2015.958,401.42,400.90
2016-01-01,2016.042,402.39,401.36
2016-02-01,2016.125,403.01,401.59
2016-03-01,2016.208,403.56,401.94
2016-04-01,2016.292,404.08,402.26
2016-05-01,2016.375,404.16,402.55
2016-06-01,2016.458,403.35,402.83
2016-07-01,2016.542,401.85,403.23
2016-08-01,2016.625,400.55,403.34
2016-09-01,2016.708,400.68,403.39
2016-10-01,2016.792,402.31,403.73
